"n","mean_distance","min_distance","mean_fitness"
2,596679113480.44,340900812324.032,0
2,2.34012244662853e+24,340900812323.859,0
2,643262312386177280,340900812324.085,0
2,224734448547.517,108568084770.963,0
2,4.95620092990911e+37,340900812324.939,0
2,162602066729925,340900812323.901,0
2,781248415376.743,340900812324.044,0
2,321380233013.703,301859653703.259,0
2,340900747215.13,340900682087.311,0
2,64767974586734.8,340900812324.039,0
2,185780769534.507,30660726745.1253,0
2,4782377826595216384,340900812323.881,0
2,340900400177.851,340899987996.136,0
2,324127782728.649,307354753133.354,0
2,22606432220917172,340900812323.848,0
2,340898505200.743,340896198076.395,0
2,5.58378299335363e+23,340900812324.053,0
2,170627855264.013,354898204.018033,0
2,340901914531.086,340900811977.837,0
2,335382811487.448,329864810650.936,0
2,340900816961.76,340900812002.467,0
2,5.12048700740913e+28,340900812324.055,0
2,4569982713556.43,340900812323.905,0
2,279060632820.12,217220453316.315,0
2,340900532914.464,340900253500.62,0
2,79120827213513.6,340900812323.905,0
2,5948362156531.12,340900812324.148,0
2,341050300133.865,340900812323.466,0
2,738243034562584,340900812323.9,0
2,340900836139.152,340900812283.953,0
2,3.73143498140588e+103,340900812323.868,0
2,435025962407100288,340900812324.064,0
2,340617516439.66,340334220552.645,0
2,529685409556.276,340900812324.112,0
2,1.37953806132192e+43,340900812324.09,0
2,340789611106.452,340678409885.75,0
2,557946882565.114,340900812324.035,0
2,3.44013300350266e+48,340900812323.862,0
2,340900744665.187,340900676943.645,0
2,4646515181625.53,340900812324.03,0
2,340906676163.935,340900812318.022,0
2,2.16263050370768e+32,340900812323.871,0
2,340895256500.155,340889700652.893,0
2,1.05059166017799e+40,340900812324.093,0
2,340900324933.898,340899837543.387,0
2,2.95200390133854e+34,340900812324.389,0
2,340900432920.727,340900053389.075,0
2,11310096951626.7,340900812323.903,0
2,340900810603.922,340900807698.255,0
2,557636931406207,340900812323.829,0
2,1.56350058105302e+38,340900812324.096,0
2,5.72175970388528e+42,340900812323.866,0
2,317105166668.054,293309521011.661,0
2,3.74658977913549e+39,340900812325.758,0
2,179960197311.869,19019582299.7867,0
2,2.55953678158054e+262,340900812323.87,0
2,322388045986.599,303875279649.029,0
2,252358720967.373,163816629610.593,0
2,340899515009.418,340898217413.065,0
2,340898660482.192,340896508292.075,0
2,340908864742.136,340900812322.586,0
2,340900829487.628,340900810195.625,0
2,340898826812.145,340896841296.996,0
2,1.3749859161576e+122,340900812323.868,0
2,NA,NA,NA
2,309556855938.114,278212899551.882,0
2,340900089026.235,340899365697.01,0
2,340900971205.183,340900812297.523,0
2,209524692203.266,78148572082.4478,0
2,340900807415.923,340900802519.936,0
2,340897890784.187,340894969243.172,0
2,259229109975.33,177557407626.767,0
2,340873575466.507,340846338608.218,0
2,302046213001.026,263191613678.145,0
2,197282285721.478,53663759118.7842,0
2,3.1833666600363e+63,340900812323.864,0
2,364448037946.175,340900812323.838,0
2,1104034276043.79,340900812324.066,0
2,340900543995.996,340900275666.829,0
2,5456408062515569,340900812324.094,0
2,8.26978919319673e+69,340900812323.868,0
2,340900874962.78,340900805320.479,0
2,285588768570.022,230276724816.018,0
2,340909482859.272,340900812313.323,0
2,1.00489726913093e+65,340900812324.152,0
2,338108575099.892,335316337874.733,0
2,340688322766.657,340475833201.325,0
2,349405255485.598,340900812323.734,0
2,10049416553438.9,340900812323.914,0
2,215069627726.585,89238443129.1307,0
2,340800235523.198,340699658722.55,0
2,331633855106.479,322366897888.937,0
2,308839061508552576,340900812323.871,0
2,922504334770.725,340900812323.806,0
2,2.79640148457585e+21,340900812323.878,0
2,342929792618.953,340900812321.51,0
2,340900814240.971,340900810596.696,0
2,340900545327.757,340900278308.239,0
2,203258220507318,340900812324.175,0
2,9.11625065005235e+31,340900812324.06,0
7,707234248955.945,1535971878.4665,0
7,254302949807.246,12885237372.3856,0
7,1.46720856630735e+22,217595191.038742,0
7,9.78559364223e+22,311625674118.772,0
7,7.36796510076287e+38,738975579.355298,0
7,5995011674775804,80434839961.2647,0
7,1062000285602.42,69392100066.3812,0
7,3.0671222606668e+19,65257812599.7142,0
7,1.13401688843336e+110,340896906498.526,0
7,4.52832596209071e+22,68412525607.7268,0
7,696360182626509,4652331680.93679,0
7,14254188300952.4,315349988582.144,0
7,5.68978281710111e+20,36193938087.4587,0
7,2.2786029861424e+38,340899760170.867,0
7,1.31122137552109e+28,340885366491.325,0
7,3469365134005845,22817009601.2451,0
7,7.83577120549396e+79,152153260173.068,0
7,131221139142.196,262892335.184773,0
7,707327983064.681,127159929.972233,0
7,6.75879495717501e+65,1746532674.75459,0
7,4.1583260386793e+127,340899539780.353,0
7,1.96807682572658e+160,340900812324.372,0
7,3.49589883221251e+21,56345762210.2406,0
7,2877378398308730,5749371762.75479,0
7,9214979763661.08,388269395.590787,0
7,4967838490398519,336295629562.084,0
7,475765595647.65,14628821.3155373,0
7,1.64545752717558e+77,78260289811.6825,0
7,971194781960712,29087472163.451,0
7,4.49291679884349e+21,28711859265.6691,0
7,2632155016972222,948679494.167753,0
7,441806038584.924,36684242354.7618,0
7,389599369512.666,93710314808.4252,0
7,2422266802238956,302150354354.076,0
7,84168577842925.9,6575397627.93707,0
7,2.75026060285197e+92,57319297818.8109,0
7,253807025108.569,2286319322.89942,0
7,190894740400.222,46429310397.9597,0
7,246036038486.191,1061012625.30013,0
7,NA,NA,NA
7,2.866320656847e+28,325811273142.343,0
7,257556475853.137,134683045688.382,0
7,8.08497262967618e+23,139664110913.05,0
7,1.16968783013571e+23,1305823723.67868,0
7,2.24688937210167e+30,122661313044.079,0
7,1.15599142870105e+275,324690473674.426,0
7,2.95955148236034e+192,224351259867.406,0
7,1.37201872575868e+28,176648000.573587,0
7,250915681583.044,3108867439.25302,0
7,4.22841730736476e+35,1071704064.96346,0
7,166235107739.533,25611210321.0661,0
7,51072825225357.2,164945595.927162,0
7,1.33125669860413e+25,340895500050.118,0
7,8598902577422.13,25331271519.0181,0
7,2.01587927747373e+40,332897637803.636,0
7,4.36355844136118e+26,6449826113.23234,0
7,8.69046415483781e+22,4845918897.36226,0
7,145888617763.85,13434914582.069,0
7,2.07564411884171e+23,237242591271.866,0
7,57981552910947864,20969910441.4865,0
7,NA,NA,NA
7,7.21311265743321e+30,14627464621.4878,0
7,3767128832722162,98583815.4830286,0
7,3.44042807885348e+20,333499393919.801,0
7,711212290591154,99438475.7400672,0
7,254342802951.957,68046114252.3057,0
7,9574130630885.11,9424393013.23869,0
7,3226797980479.46,14336865427.154,0
7,6.00100069205502e+54,187992694.962846,0
